NFR,percentile_80_target,percentile_95_target
Perf_1,1.6,2
Perf_2,2.4,3
Perf_3,1.6,2
Perf_4,2.4,3
Perf_5,24,30
Perf_6,24,30
Perf_7,2.4,3
Perf_7a,4,5
Perf_7b,4.8,6
Perf_8,1.6,2
Perf_8a,2.4,3
Perf_8b,3.2,4
Perf_11,2.1,3.6
Perf_32,0.5d,0.6d
Perf_33,0.8d,1.0d
Perf_34,0.35d,0.45d
Perf_35,2e,2.5e
Mailboxes,60,90


transaction,NFR
APIM_MyA4B_RegisterUser,Perf_11
APIM_MyACC_ClaimActivity_GetActualEarningsRecordsForCase,Perf_11
APIM_MyACC_ClaimActivity_GetApprovalOrderDecisions,Perf_11
APIM_MyACC_ClaimActivity_GetApprovalOrders,Perf_11
APIM_MyACC_ClaimActivity_GetCaseOccupations,Perf_11
APIM_MyACC_ClaimActivity_GetClaimBenefits,Perf_11
APIM_MyACC_ClaimActivity_GetEForms,Perf_11
APIM_MyACC_ClaimActivity_GetPayments,Perf_11
APIM_MyACC_ClaimActivity_ReadCaseManagementDetailsV1,Perf_11
APIM_MyACC_ClaimActivity_ReadClaimsForPartyV2,Perf_11
APIM_MyACC_ClaimActivity_ReadClaimV3,Perf_11
APIM_MyACC_ClaimActivity_ReadClientDetailsV1,Perf_11
APIM_MyACC_ClaimActivity_ReadEForms,Perf_11
APIM_MyACC_ClaimActivity_ReadInvoice,Perf_11
APIM_MyACC_ClaimActivity_ReadTasksForCase,Perf_11
APIM_MyACC_ClientAbatement_CreateActualEarningsRecordsForCase_CreateActualEarningsRecordsForCase,Perf_11
APIM_MyACC_ClientAbatement_CreateActualEarningsRecordsForCase_GetCaseOccupations,Perf_11
APIM_MyACC_ClientAbatement_CreateOccupationForCase,Perf_11
APIM_MyACC_ClientAbatement_GetCaseOccupations,Perf_11
APIM_MyACC_ClientAbatement_GetCaseWeekBasedWorkPattern,Perf_11
APIM_MyACC_ClientAbatement_GetEForms,Perf_11
APIM_MyACC_ClientAbatement_ReadClaimV3,Perf_11
APIM_MyACC_ClientAbatement_ReadEForms,Perf_11
APIM_MyACC_ClientAbatement_StoreWeekBasedWorkPattern,Perf_11
APIM_MyACC_CTR_CreateInvoice,Perf_11
APIM_MyACC_CTR_ReadInvoice,Perf_11
APIM_MyACC_RightsAndResponsibilities_AddEform3,Perf_11
APIM_MyACC_UpdateContactDetails_CreateOrUpdateClaimantAddress,Perf_11
APIM_MyACC_UpdateContactDetails_CreateOrUpdateClaimantEmail,Perf_11
APIM_MyACC_UpdateContactDetails_CreateOrUpdateClaimantPhone,Perf_11
APIM_MyACC_UpdateContactDetails_ReadClientDetailsV1,Perf_11
APIM_MyACC_WeeklyCompensationRequest_AddPaymentPreference,Perf_11
APIM_MyACC_WeeklyCompensationRequest_AddTaxCode,Perf_11
APIM_MyACC_WeeklyCompensationRequest_GetTaxCode,Perf_11
APIM_MyACC_WeeklyCompensationRequest_UpdateClaimant,Perf_11
APIM_MyACC_WeeklyCompensationRequest_UpdateTaxCode,Perf_11
EosFO_ACC18_ApproveMedicalIncapacity_01_TransferToNextGen,Perf_4
EosFO_ACC18_ApproveMedicalIncapacity_02_TransferToEnabledRecovery,Perf_4
EosFO_ACC18_ApproveMedicalIncapacity_03_InjuryTab,Perf_1
EosFO_ACC18_ApproveMedicalIncapacity_04_IncapactiySubtab,Perf_1
EosFO_ACC18_ApproveMedicalIncapacity_05_ApproveIncapacity,Perf_4
EosFO_ACC18_ApproveMedicalIncapacity_06_OK,Perf_4
EosFO_AddCon_030_ClickContacts_complex,Perf_1
EosFO_AddCon_030_ClickContacts_medium,Perf_1
EosFO_AddCon_030_ClickContacts_simple,Perf_1
EosFO_AddCon_040_ClickAdd_complex,Perf_3
EosFO_AddCon_040_ClickAdd_medium,Perf_3
EosFO_AddCon_040_ClickAdd_simple,Perf_3
EosFO_AddCon_050_SelectReason_complex,Perf_4
EosFO_AddCon_050_SelectReason_medium,Perf_4
EosFO_AddCon_050_SelectReason_simple,Perf_4
EosFO_AddCon_060_SelectOutcome_complex,Perf_4
EosFO_AddCon_060_SelectOutcome_medium,Perf_4
EosFO_AddCon_060_SelectOutcome_simple,Perf_4
EosFO_AddCon_070_SelectFeedbackCategory_complex,Perf_4
EosFO_AddCon_070_SelectFeedbackCategory_medium,Perf_4
EosFO_AddCon_070_SelectFeedbackCategory_simple,Perf_4
EosFO_AddCon_080_ClickOK_complex,Perf_4
EosFO_AddCon_080_ClickOK_medium,Perf_4
EosFO_AddCon_080_ClickOK_simple,Perf_4
EosFO_AddDoc_030_ClickDocs_complex,Perf_1
EosFO_AddDoc_030_ClickDocs_medium,Perf_1
EosFO_AddDoc_030_ClickDocs_simple,Perf_1
EosFO_AddDoc_040_AddDoc_complex,Perf_3
EosFO_AddDoc_040_AddDoc_medium,Perf_3
EosFO_AddDoc_040_AddDoc_simple,Perf_3
EosFO_AddDoc_050_ClickApproveDeclineTreatment_complex,Perf_3
EosFO_AddDoc_050_ClickApproveDeclineTreatment_medium,Perf_3
EosFO_AddDoc_050_ClickApproveDeclineTreatment_simple,Perf_3
EosFO_AddDoc_060_FilterDocType_complex,Perf_3
EosFO_AddDoc_060_FilterDocType_medium,Perf_3
EosFO_AddDoc_060_FilterDocType_simple,Perf_3
EosFO_AddDoc_070_ClickOK_complex,Perf_4
EosFO_AddDoc_070_ClickOK_medium,Perf_4
EosFO_AddDoc_070_ClickOK_simple,Perf_4
EosFO_AddDoc_080_RemoveRecipient_complex,Perf_3
EosFO_AddDoc_080_RemoveRecipient_medium,Perf_3
EosFO_AddDoc_080_RemoveRecipient_simple,Perf_3
EosFO_AddDoc_090_SelectToRecipient_complex,Perf_3
EosFO_AddDoc_090_SelectToRecipient_medium,Perf_3
EosFO_AddDoc_090_SelectToRecipient_simple,Perf_3
EosFO_AddDoc_100_SelectCCRecipient_complex,Perf_3
EosFO_AddDoc_100_SelectCCRecipient_medium,Perf_3
EosFO_AddDoc_100_SelectCCRecipient_simple,Perf_3
EosFO_AddDoc_110_ClickNextAndOK_complex,Perf_4
EosFO_AddDoc_110_ClickNextAndOK_medium,Perf_4
EosFO_AddDoc_110_ClickNextAndOK_simple,Perf_4
EosFO_AddDoc_120_SelectCompleteDocAndOK_complex,Perf_6
EosFO_AddDoc_120_SelectCompleteDocAndOK_medium,Perf_6
EosFO_AddDoc_120_SelectCompleteDocAndOK_simple,Perf_6
EosFO_AddPaymentPref_01_OpenClaimant,Perf_1
EosFO_AddPaymentPref_02_PaymentPreferences,Perf_1
EosFO_AddPaymentPref_03_AddPaymentPreference,Perf_1
EosFO_AddPaymentPref_04_SearchBankAccount,Perf_3
EosFO_AddPaymentPref_05_AddBankAccount,Perf_3
EosFO_AddPaymentPref_06_EnterBankAccountDetails,Perf_4
EosFO_AddPaymentPref_07_OKBankAccount,Perf_4
EosFO_AddPaymentPref_08_OKPaymentPreference,Perf_4
EosFO_AddPaymentPref_09_SetDefaultPaymentPreference,Perf_1
EosFO_AddPaymentPref_10_TaxCodes,Perf_1
EosFO_AddPaymentPref_11_AddTaxCode,Perf_1
EosFO_AddPaymentPref_12_SelectTaxCode,Perf_1
EosFO_AddPaymentPref_13_OKTaxCode,Perf_4
EosFO_AddPaymentPref_14_CloseClaimant,Perf_1
EosFO_AddTask_030_ClickTasks_complex,Perf_1
EosFO_AddTask_030_ClickTasks_medium,Perf_1
EosFO_AddTask_030_ClickTasks_simple,Perf_1
EosFO_AddTask_040_ClickAdd_complex,Perf_3
EosFO_AddTask_040_ClickAdd_medium,Perf_3
EosFO_AddTask_040_ClickAdd_simple,Perf_3
EosFO_AddTask_050_FindContactWorkType_complex,Perf_3
EosFO_AddTask_050_FindContactWorkType_medium,Perf_3
EosFO_AddTask_050_FindContactWorkType_simple,Perf_3
EosFO_AddTask_060_ClickContactPartySelectUser_complex,Perf_3
EosFO_AddTask_060_ClickContactPartySelectUser_medium,Perf_3
EosFO_AddTask_060_ClickContactPartySelectUser_simple,Perf_3
EosFO_AddTask_070_NotAssignedToMeAndClickNext_complex,Perf_3
EosFO_AddTask_070_NotAssignedToMeAndClickNext_medium,Perf_3
EosFO_AddTask_070_NotAssignedToMeAndClickNext_simple,Perf_3
EosFO_AddTask_080_EnterDetailsClickNext_complex,Perf_4
EosFO_AddTask_080_EnterDetailsClickNext_medium,Perf_4
EosFO_AddTask_080_EnterDetailsClickNext_simple,Perf_4
EosFO_AddTask_090_ClickSearchForUser_complex,Perf_1
EosFO_AddTask_090_ClickSearchForUser_medium,Perf_1
EosFO_AddTask_090_ClickSearchForUser_simple,Perf_1
EosFO_AddTask_100_ClickNameSearch_complex,Perf_1
EosFO_AddTask_100_ClickNameSearch_medium,Perf_1
EosFO_AddTask_100_ClickNameSearch_simple,Perf_1
